ID,keyword_classification,keyword_confidence,keyword_reason,final_classification,llm_reason,classification_method
DRX440382,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. sample_name=ChIPseq EZH2 of WT mouse,LLM
ERX204066,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. ArrayExpress-DevelopmentalStage=Adult, ArrayExpress-Genotype=Wildtype",LLM
SRX018602,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype=Nrl-/-,LLM
SRX027447,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. genotype/variation=wild type,LLM
SRX028842,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatment=Brd2_0H_minus,LLM
SRX10462798,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype=Tet2+/-,LLM
SRX105503,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. strain=CD1 outbred mice, age=2-3 months",LLM
SRX1063034,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. source_name=Pre-activated CD4+ T cells,LLM
SRX1063037,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. genotype=S3KO, treatment=IL21 STAT1",LLM
SRX10652556,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype=Junbfl/fl,LLM
SRX10659669,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. source_name=ChIP HNF4a on FoxA Dev double null,LLM
SRX10828736,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype=XBP1 LKO,LLM
SRX10828756,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. genotype=WT, age=3-4 months",LLM
SRX10873024,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. developmental stage=P5,LLM
SRX10989779,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. genotype=C57BJ/L6 WT mice,LLM
SRX11187698,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatment=1h progesterone treatment,LLM
SRX11366190,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. genotype=WT,LLM
SRX1176003,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. treatment=none,LLM
SRX13065852,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype=Krt14-Cre+;Ppp1r13l-/- and deletion=specific deletion of Ppp1r13l exon8,LLM
SRX14059359,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. source_name=RAW 264.7 cells, treatment=treated with 100 ng/ml LPS for 4 h",LLM
SRX142514,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. cell_type=C2C12, age=immortalized",LLM
SRX145053,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. age=immortalized,LLM
SRX14563995,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. treatment=Anisomycin + IFNg, cell type=Bone marrow derived macrophage (BMDM)",LLM
SRX14617697,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. source_name=Ch12 cell line,LLM
SRX14818057,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. genotype=IFNb/IRF9 DKO, treatment=stimulated",LLM
SRX149201,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. cell line=pre-B cell line B3,LLM
SRX1495349,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. tissue=heart 4 days post-injury (MI),LLM
SRX15840026,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. genotype=wild type C57BL6, treatment=vehicle (EtOH, PBS)",LLM
SRX15840131,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. genotype=wild type C57BL6, treatment=vehicle (EtOH, PBS)",LLM
SRX17469441,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatment=NSD1 sh1,LLM
SRX17605394,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. genotype=Wild-type,LLM
SRX188806,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. age=immortalized,LLM
SRX20201036,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. genotype=WT, age=16 to 20 weeks",LLM
SRX204705,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. strain=C57BL6/J, age=7 weeks old",LLM
SRX20826938,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. genotype=BL/6Jax,LLM
SRX20969410,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. donor genotype=Brd9fl/fl, timing of preparation=5 months after pIpC injection",LLM
SRX2162110,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. genotype/variation=WT,LLM
SRX21711865,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. treatment=WT,LLM
SRX22512363,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. genotype=Setdb1-KO, age=Embryonic day 15.5",LLM
SRX2424023,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. age=0 day,LLM
SRX2500398,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. source_name=Cerebellar granule neuron progenitor, developmental stage=P7",LLM
SRX2647474,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype=Tbx21-/-,LLM
SRX2647492,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. genotype=WT,LLM
SRX2741794,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. tissue=Phenylhydrazine treated spleen,LLM
SRX319873,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatment=Kdo2 Lipid A (KLA) 6h,LLM
SRX319874,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatment=Kdo2 Lipid A (KLA) 12h,LLM
SRX3331742,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. genotype/variation=wild type,LLM
SRX341761,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. age=E18.5 embryos, cell type=MyoD-induced immortalized brown preadipocytes",LLM
SRX3582922,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatment=12 wk High Fat Diet,LLM
SRX3601924,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. cell type=Primary BMDM,LLM
SRX3858835,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. age=Postnatal day 0,LLM
SRX392764,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. cell type=haftl derived C10 cells,LLM
SRX4178770,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatment=IFNg,LLM
SRX4325335,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. strain=C3H/HeN,LLM
SRX4348502,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. genotype=IRF9WT,LLM
SRX4895097,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. cell line=CH12, cell type=lymphoma cell line, treatment=APR60h",LLM
SRX5689484,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype/variation=Foxp3Thy1.1/Rosa-Cas9,LLM
SRX6095535,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. genotype=M1-IKO, treatment=10 ng/g bw 1,25(OH)2D3",LLM
SRX6417441,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. genotype=WT,LLM
SRX661408,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype/variation=GRdim,LLM
SRX6924490,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype/variation=tetYAP,LLM
SRX7368531,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. sample type=Primary cells,LLM
SRX7368548,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. genotype=OBF1KO,LLM
SRX745826,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. develomental stage=E14.5, treatment=Dexamethasone",LLM
SRX7726481,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. source_name=Tbet_NK_WT_exvivo,LLM
SRX7902429,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. genotype=wild type,LLM
SRX8241996,skipped,0,Keyword search skipped (LLM-Only mode),native,Native. cell isolation=Primary isolated cells,LLM
SRX8725650,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. cell line=Hepa-1c1c7,LLM
SRX8994289,skipped,0,Keyword search skipped (LLM-Only mode),native,"Native. genotype/variation=WT, cells=Mouse splenic B cells-resting",LLM
SRX9311847,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatment=IL-4 24h,LLM
SRX9311895,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. treatment=IL-4 24h,LLM
SRX9311913,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. strain=LyzM-Cre Egr2 fl/fl, cell type=BMDMs (bone marow-derived macrophages)",LLM
SRX9344868,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. Metadata=source_name=RAW264.7 cells,LLM
SRX9432511,skipped,0,Keyword search skipped (LLM-Only mode),non-native,"Non-Native. cell line=Raw264.7, cell type=Monocyte-derived cell line",LLM
SRX978687,skipped,0,Keyword search skipped (LLM-Only mode),non-native,Non-Native. cell=immortalized brown adipocytes (iBATs),LLM
